,Artist Birth Country,Year Artwork 'Completed'
564,North America,1986
565,North America,1999
566,North America,1984
567,North America,2010
568,North America,2004
569,North America,2007
570,North America,2007
571,North America,2007
572,North America,2007
574,North America,1976
575,North America,1977
576,North America,1979
577,North America,1979
578,North America,1982
579,North America,1983
580,North America,1984
581,North America,1987
582,North America,1988
583,North America,1989
598,North America,1988
599,North America,1988
41014,Oceania,1950
41027,North America,1950
41061,North America,1951
41063,North America,1950
41085,North America,1951
41137,Oceania,1953
41159,Oceania,1954
41219,North America,1963
41220,North America,1963
41221,North America,1963
41222,North America,1963
41223,North America,1963
41224,North America,1963
41225,North America,1963
41226,North America,1963
41227,North America,1963
41228,North America,1963
41229,North America,1963
41230,North America,1963
41231,North America,1963
41232,North America,1963
41233,North America,1963
41234,North America,1963
41235,North America,1963
41236,North America,1963
41246,North America,1973
41247,North America,1973
41248,North America,1973
41249,North America,1973
41250,North America,1973
41251,North America,1973
41252,North America,1973
41253,North America,1973
41254,North America,1973
41255,North America,1973
41256,North America,1973
41257,North America,1973
41258,North America,1973
41259,North America,1973
41260,North America,1973
41261,North America,1973
41414,North America,1971
41415,North America,1971
41416,North America,1971
41417,North America,1971
41418,North America,1971
41419,Asia,1969
41420,Asia,1969
41421,Asia,1969
41422,Asia,1969
41423,Asia,1969
41424,Asia,1969
41425,Asia,1971
41426,Asia,1972
41427,Asia,1972
41428,Asia,1972
41543,Africa,1968
41548,,1967
41549,,1967
41601,,1974
41602,,1974
41609,,1970
41610,,1971
41611,,1971
41613,,1974
41615,North America,1974
41623,North America,1971
41624,Oceania,1973
41625,North America,1973
41626,North America,1974
41642,North America,1973
41643,Asia,1973
41644,Oceania,1966
41645,Oceania,1966
41646,Oceania,1966
41647,Oceania,1966
41648,Oceania,1969
41649,Oceania,1969
41650,Oceania,1969
41651,Oceania,1969
41652,Oceania,1969
41754,,1972
41808,North America,1965
41809,North America,1970
41810,North America,1974
41811,North America,1974
41812,North America,1975
41859,,1975
41866,North America,1973
41873,,1972
41874,,1972
41875,,1972
41884,,1971
41885,,1971
41930,North America,1973
41931,North America,1973
41932,North America,1973
41933,North America,1973
41934,North America,1973
41950,,1969
41951,,1969
41952,,1969
41953,,1969
41954,,1969
41955,South America,1969
41956,South America,1970
41957,South America,1970
41958,South America,1970
41959,South America,1970
41978,North America,1965
41980,North America,1952
41981,North America,1965
41983,North America,1964
41985,North America,1971
41986,North America,1965
41987,North America,1965
41988,North America,1961
41989,North America,1966
41990,North America,1965
41991,North America,1960
41992,North America,1966
41996,Oceania,1976
42018,North America,1969
42019,North America,1963
42047,North America,1972
42052,,1978
42055,,1978
42074,,1976
42075,,1976
42076,,1976
42077,,1976
42079,,1961
42080,North America,1978
42081,North America,1978
42412,North America,1973
42512,North America,1974
