,acquisitionYear,year,acquisition
0,1922,1785,presented
1,1919,1826,purchased
2,1919,1826,purchased
3,1919,1826,purchased
4,1919,1826,purchased
5,1919,1826,purchased
6,1919,1826,purchased
7,1919,1826,purchased
8,1919,1828,purchased
9,1919,1825,purchased
10,1919,1825,purchased
11,1919,1825,purchased
12,1919,1825,purchased
13,1919,1825,purchased
14,1919,1825,purchased
15,1919,1825,purchased
16,1919,1825,purchased
17,1919,1825,purchased
18,1919,1825,purchased
19,1919,1825,purchased
20,1919,1825,purchased
21,1919,1825,purchased
22,1919,1825,purchased
23,1919,1825,purchased
24,1919,1825,purchased
25,1919,1825,purchased
26,1919,1825,purchased
27,1919,1825,purchased
28,1919,1825,purchased
29,1922,1803,presented
30,1922,1794,presented
31,1922,1794,presented
32,1922,1794,presented
33,1922,1794,presented
34,1922,1789,presented
35,1922,1789,presented
36,1922,1786,presented
37,1922,1800,presented
38,1922,1790,presented
39,1922,1805,presented
40,1922,1785,presented
41,1922,1779,presented
42,1922,1825,presented
43,1922,1800,presented
44,1922,1805,presented
45,1922,1805,presented
46,1922,1826,presented
47,1916,1870,bequeathed
48,1916,1871,bequeathed
49,1916,1866,bequeathed
50,1916,1866,bequeathed
51,1916,1877,bequeathed
52,1916,1877,bequeathed
53,1916,1873,bequeathed
54,1916,1873,bequeathed
55,1916,1872,bequeathed
56,1916,1872,bequeathed
57,1925,1872,presented
58,1927,1879,bequeathed
59,1927,1879,bequeathed
60,1927,1875,bequeathed
61,1927,1875,bequeathed
62,1927,1875,bequeathed
63,1927,1875,bequeathed
64,1927,1862,bequeathed
65,1927,1862,bequeathed
66,1927,1870,bequeathed
67,1927,1870,bequeathed
68,1927,1870,bequeathed
69,1927,1863,bequeathed
70,1927,1863,bequeathed
71,1927,1863,bequeathed
72,1927,1863,bequeathed
73,1927,1863,bequeathed
74,1927,1863,bequeathed
75,1927,1863,bequeathed
76,1927,1863,bequeathed
77,1927,1863,bequeathed
78,1927,1861,bequeathed
79,1927,1866,bequeathed
80,1927,1861,bequeathed
81,1927,1880,bequeathed
82,1927,1861,bequeathed
83,1927,1861,bequeathed
84,1927,1862,bequeathed
85,1927,1861,bequeathed
86,1927,1861,bequeathed
87,1927,1862,bequeathed
88,1927,1875,bequeathed
89,1927,1862,bequeathed
90,1927,1861,bequeathed
91,1924,1821,presented
92,1924,1821,presented
93,1924,1821,presented
94,1924,1821,presented
95,1924,1821,presented
96,1924,1821,presented
97,1924,1821,presented
98,1924,1821,presented
99,1924,1821,presented
100,1924,1821,presented
101,1924,1821,presented
102,1924,1821,presented
103,1924,1821,presented
104,1924,1821,presented
105,1924,1821,presented
106,1924,1821,presented
107,1924,1821,presented
108,1912,1840,purchased
109,1912,1846,purchased
110,1912,1871,purchased
111,1912,1874,purchased
112,1912,1874,purchased
113,1912,1860,purchased
114,1912,1846,purchased
115,1912,1863,purchased
116,1912,1863,purchased
117,1912,1846,purchased
118,1912,1852,purchased
119,1912,1852,purchased
120,1912,1852,purchased
121,1912,1852,purchased
122,1912,1852,purchased
123,1912,1860,purchased
124,1912,1850,purchased
125,1912,1845,purchased
126,1912,1844,purchased
127,1912,1844,purchased
128,1912,1850,purchased
129,1912,1844,purchased
130,1912,1846,purchased
131,1912,1846,purchased
132,1912,1828,presented
133,1912,1828,presented
134,1912,1827,presented
135,1912,1829,presented
136,1912,1831,presented
137,1912,1828,presented
138,1912,1829,presented
139,1912,1830,presented
140,1912,1825,presented
141,1912,1829,presented
142,1912,1829,presented
143,1910,1785,presented
144,1909,1812,presented
145,1909,1814,presented
146,1926,1869,presented
147,1926,1870,presented
148,1926,1870,presented
149,1847,1829,presented
150,1847,1829,presented
151,1924,1881,presented
152,1924,1881,presented
153,1924,1881,presented
154,1924,1881,presented
155,1924,1881,presented
156,1924,1881,presented
157,1924,1881,presented
158,1924,1881,presented
159,1924,1881,presented
160,1900,1851,bequeathed
161,1900,1851,bequeathed
162,1900,1851,bequeathed
163,1924,1843,presented
164,1924,1843,presented
165,1924,1843,presented
166,1924,1843,presented
167,1924,1843,presented
168,1924,1843,presented
169,1924,1843,presented
170,1924,1843,presented
171,1924,1843,presented
172,1924,1843,presented
173,1924,1843,presented
174,1924,1843,presented
175,1924,1843,presented
176,1924,1843,presented
177,1924,1843,presented
178,1924,1843,presented
179,1924,1843,presented
180,1924,1843,presented
181,1924,1843,presented
182,1924,1843,presented
183,1924,1843,presented
184,1924,1843,presented
185,1924,1843,presented
186,1924,1843,presented
187,1924,1843,presented
188,1924,1843,presented
189,1924,1843,presented
190,1924,1843,presented
191,1924,1843,presented
192,1924,1843,presented
193,1924,1843,presented
194,1924,1843,presented
195,1924,1843,presented
196,1924,1843,presented
197,1924,1843,presented
198,1924,1843,presented
199,1924,1843,presented
200,1924,1843,presented
201,1924,1843,presented
202,1924,1843,presented
203,1924,1843,presented
204,1924,1843,presented
205,1924,1843,presented
206,1924,1843,presented
207,1924,1843,presented
208,1924,1843,presented
209,1924,1843,presented
210,1924,1843,presented
211,1924,1843,presented
212,1924,1843,presented
213,1924,1864,presented
214,1924,1864,presented
215,1924,1864,presented
216,1924,1864,presented
217,1924,1864,presented
218,1924,1864,presented
219,1924,1864,presented
220,1924,1864,presented
221,1924,1864,presented
222,1924,1864,presented
223,1924,1864,presented
224,1924,1864,presented
225,1924,1864,presented
226,1924,1864,presented
227,1924,1864,presented
228,1924,1864,presented
229,1924,1864,presented
230,1924,1864,presented
231,1924,1864,presented
232,1924,1864,presented
233,1924,1860,presented
234,1924,1860,presented
235,1924,1860,presented
236,1908,1843,presented
237,1908,1843,presented
238,1908,1843,presented
239,1908,1843,presented
240,1924,1864,presented
241,1924,1863,presented
242,1924,1863,presented
243,1924,1864,presented
244,1924,1865,presented
245,1924,1865,presented
246,1924,1864,presented
247,1924,1865,presented
248,1924,1864,presented
249,1924,1864,presented
250,1830,1788,presented
251,1922,1825,presented
252,1877,1876,presented
253,1877,1876,presented
254,1877,1876,presented
255,1924,1858,purchased
256,1924,1858,purchased
257,1924,1858,purchased
258,1927,1859,bequeathed
259,1927,1849,bequeathed
260,1949,1885,bequeathed
261,1949,1885,bequeathed
262,1867,1818,presented
263,1867,1818,presented
264,1867,1818,presented
265,1867,1818,presented
266,1867,1818,presented
267,1867,1818,presented
268,1867,1818,presented
269,1867,1818,presented
270,1867,1818,presented
271,1867,1818,presented
272,1867,1818,presented
273,1867,1818,presented
274,1900,1893,presented
275,1900,1893,presented
276,1905,1862,purchased
277,1891,1806,presented
278,1891,1806,presented
279,1891,1806,presented
280,1891,1806,presented
281,1891,1806,presented
282,1891,1806,presented
283,1891,1806,presented
284,1891,1806,presented
285,1891,1806,presented
286,1891,1806,presented
287,1891,1806,presented
288,1905,1858,purchased
289,1905,1858,purchased
290,1905,1858,purchased
291,1905,1858,purchased
292,1905,1858,purchased
293,1905,1858,purchased
294,1905,1858,purchased
295,1905,1858,purchased
296,1905,1858,purchased
297,1905,1858,purchased
298,1905,1858,purchased
299,1905,1858,purchased
300,1905,1858,purchased
301,1905,1858,purchased
302,1905,1858,purchased
303,1905,1858,purchased
304,1905,1858,purchased
305,1905,1858,purchased
306,1905,1858,purchased
307,1905,1858,purchased
308,1905,1858,purchased
309,1905,1858,purchased
310,1905,1858,purchased
311,1905,1858,purchased
312,1905,1858,purchased
313,1905,1858,purchased
314,1905,1858,purchased
315,1905,1858,purchased
316,1905,1858,purchased
317,1905,1858,purchased
318,1856,1837,accepted
319,1856,1810,accepted
320,1925,1812,presented
321,1925,1812,presented
322,1925,1807,presented
323,1925,1807,presented
324,1925,1807,presented
325,1925,1807,presented
326,1925,1807,presented
327,1925,1807,presented
328,1925,1807,presented
329,1925,1807,presented
330,1925,1807,presented
331,1925,1807,presented
332,1925,1808,presented
333,1925,1808,presented
334,1925,1808,presented
335,1925,1808,presented
336,1925,1808,presented
337,1925,1808,presented
338,1925,1808,presented
339,1925,1808,presented
340,1925,1808,presented
341,1925,1808,presented
342,1925,1808,presented
343,1925,1808,presented
344,1925,1808,presented
345,1925,1808,presented
346,1925,1808,presented
347,1925,1808,presented
348,1925,1808,presented
349,1925,1808,presented
350,1925,1808,presented
351,1925,1808,presented
352,1925,1809,presented
353,1925,1809,presented
354,1925,1809,presented
355,1925,1809,presented
356,1925,1809,presented
357,1925,1809,presented
358,1925,1809,presented
359,1925,1809,presented
360,1925,1809,presented
361,1925,1809,presented
362,1925,1809,presented
363,1925,1811,presented
364,1925,1811,presented
365,1925,1811,presented
366,1925,1811,presented
367,1925,1811,presented
368,1925,1811,presented
369,1925,1811,presented
370,1925,1811,presented
371,1925,1811,presented
372,1925,1811,presented
373,1925,1811,presented
374,1925,1811,presented
375,1925,1811,presented
376,1925,1811,presented
377,1925,1811,presented
378,1925,1811,presented
379,1925,1811,presented
380,1925,1811,presented
381,1925,1811,presented
382,1925,1811,presented
383,1925,1811,presented
384,1925,1811,presented
385,1925,1811,presented
386,1925,1811,presented
387,1925,1811,presented
388,1925,1811,presented
389,1925,1811,presented
390,1925,1811,presented
391,1925,1811,presented
392,1925,1811,presented
393,1925,1812,presented
394,1925,1812,presented
395,1925,1812,presented
396,1925,1812,presented
397,1925,1811,presented
398,1925,1812,presented
399,1925,1812,presented
400,1925,1812,presented
401,1925,1811,presented
402,1925,1812,presented
403,1925,1812,presented
404,1925,1812,presented
405,1925,1812,presented
406,1925,1812,presented
407,1925,1812,presented
408,1925,1812,presented
409,1925,1812,presented
410,1925,1812,presented
411,1925,1812,presented
412,1925,1812,presented
413,1925,1812,presented
414,1925,1812,presented
415,1925,1812,presented
416,1925,1812,presented
417,1925,1812,presented
418,1925,1812,presented
419,1925,1812,presented
420,1925,1812,presented
421,1925,1812,presented
422,1925,1812,presented
423,1925,1812,presented
424,1925,1816,presented
425,1927,1893,bequeathed
426,1927,1893,bequeathed
427,1927,1863,bequeathed
428,1927,1863,bequeathed
429,1896,1822,bequeathed
430,1896,1830,bequeathed
431,1896,1833,bequeathed
432,1896,1814,bequeathed
433,1896,1817,bequeathed
434,1940,1931,purchased
435,1940,1931,purchased
436,1940,1931,purchased
437,1940,1931,purchased
438,1940,1931,purchased
439,1961,1959,presented
440,1961,1959,presented
441,1961,1959,presented
442,1961,1959,presented
443,1941,1916,bequeathed
444,1941,1917,bequeathed
445,1941,1916,bequeathed
446,1941,1916,bequeathed
447,1941,1916,bequeathed
448,1941,1916,bequeathed
449,1941,1916,bequeathed
450,1941,1917,bequeathed
451,1941,1917,bequeathed
452,1941,1916,bequeathed
453,1941,1916,bequeathed
454,1941,1916,bequeathed
455,1941,1917,bequeathed
456,1941,1916,bequeathed
457,1941,1916,bequeathed
458,1941,1917,bequeathed
459,1941,1916,bequeathed
460,1941,1916,bequeathed
461,1941,1916,bequeathed
462,1941,1916,bequeathed
463,1941,1916,bequeathed
464,1941,1917,bequeathed
465,1941,1916,bequeathed
466,1957,1951,presented
467,1957,1951,presented
468,1957,1951,presented
469,1941,1900,presented
470,1941,1899,presented
471,1941,1902,presented
472,1960,1953,presented
473,1960,1953,presented
474,1960,1953,presented
475,1960,1953,presented
476,1960,1953,presented
477,1960,1953,presented
478,1960,1959,presented
479,1960,1959,presented
480,1939,1933,presented
481,1939,1933,presented
482,1939,1933,presented
483,1939,1933,presented
484,1939,1933,presented
485,1939,1933,presented
486,1939,1933,presented
487,1946,1902,presented
488,1946,1902,presented
489,1946,1902,presented
490,1946,1902,presented
491,1946,1902,presented
492,1946,1902,presented
493,1946,1902,presented
494,1946,1902,presented
495,1946,1902,presented
496,1946,1902,presented
497,1946,1902,presented
498,1946,1902,presented
499,1946,1902,presented
500,1946,1902,presented
501,1946,1902,presented
502,1946,1902,presented
503,1946,1902,presented
504,1946,1902,presented
505,1946,1902,presented
506,1946,1902,presented
507,1946,1902,presented
508,1946,1902,presented
509,1975,1974,purchased
510,1925,1814,presented
511,1925,1814,presented
512,1925,1816,presented
513,1925,1816,presented
514,1925,1816,presented
515,1925,1816,presented
516,1925,1816,presented
517,1925,1816,presented
518,1925,1816,presented
519,1925,1816,presented
520,1925,1816,presented
521,1925,1816,presented
522,1925,1816,presented
523,1925,1816,presented
524,1925,1816,presented
525,1925,1816,presented
526,1925,1816,presented
527,1925,1819,presented
528,1925,1819,presented
529,1925,1819,presented
530,1925,1819,presented
531,1925,1819,presented
532,1925,1816,presented
533,1925,1816,presented
534,1925,1816,presented
535,1925,1816,presented
536,1925,1819,presented
537,1925,1819,presented
538,1925,1819,presented
539,1925,1819,presented
540,1925,1819,presented
541,1925,1819,presented
542,1925,1819,presented
543,1925,1819,presented
544,1925,1819,presented
545,1925,1819,presented
546,1925,1819,presented
547,1925,1819,presented
548,1927,1859,bequeathed
549,1927,1859,bequeathed
